,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
26,Alonzo Menifield,Oumar Sy,Alonzo Menifield,0.33,0.0,0.0,0.35,0.2,1.0
27,Jamey-Lyn Horth,Vanessa Demopoulos,Jamey-Lyn Horth,0.6,0.6666666666666666,0.6968325791855203,0.3,0.0,0.3031674208144796
28,Malcolm Wellmaker,Kris Moutinho,Malcolm Wellmaker,0.64,0.0,1.0,0.22,0.0,0.0
29,Kamaru Usman,Joaquin Buckley,Kamaru Usman,0.41,0.3076923076923077,1.0,0.29,0.0,0.0
30,Cody Garbrandt,Raoni Barcelos,Raoni Barcelos,0.29,0.0,0.23958333333333334,0.43,0.09090909090909091,0.7604166666666666
31,Rose Namajunas,Miranda Maverick,Rose Namajunas,0.29,0.5,0.7844311377245509,0.33,0.0,0.2155688622754491
32,Cody Durden,Jose Ochoa,Jose Ochoa,0.21,0.5,0.8869565217391304,0.37,0.0,0.11304347826086956
33,Phil Rowe,Ange Loosa,Phil Rowe,0.51,0.0,0.02610966057441253,0.61,0.42857142857142855,0.9738903394255874
35,Mansur Abdul-Malik,Cody Brundage,Mansur Abdul-Malik,0.34,0.0,0.875,0.44,0.0,0.125
36,MarQuel Mederos,Mark Choinski,MarQuel Mederos,0.66,0.0,0.11987381703470032,0.5,0.18181818181818182,0.8801261829652997
