,Striking,Grappling,Wrestling,origin_elo
Rinat Fakhretdinov,1550.9850722617475,1540.461795209075,1569.0688873259678,2690.827829879105
Azamat Murzakanov,1559.8401792747832,1536.466188598105,1564.1955995395047,2690.824707632202
Aiemann Zahabi,1567.8516077086522,1535.5299847092356,1557.0853719946879,2690.8225235818854
Chepe Mariscal,1550.87869662375,1547.6430756974955,1561.1608803539602,2690.2875526127946
Rory MacDonald,1547.2640753916571,1547.1572297982025,1565.149087453557,2690.244092767634
Yoel Romero,1558.2721018251525,1537.4150919596723,1563.7005338317947,2690.1703417846584
Jean Silva,1563.5035917045748,1545.005531602031,1550.3784023265841,2689.843631952369
Ricky Simon,1534.9583596113714,1550.62121399474,1573.1261495999445,2689.8418536387044
Michel Pereira,1552.6296617156745,1536.3442444576178,1568.498013507979,2689.0887903332336
Forrest Griffin,1532.837549481428,1539.2381078820185,1584.9430558415518,2689.0313118513145
Li Jingliang,1558.2813497430802,1531.2971448906926,1567.6367808598866,2688.9769035103764
Dominick Reyes,1558.6130495937136,1527.1788251278617,1570.8693446234838,2688.7135028039984
Umar Nurmagomedov,1547.770762065632,1539.8727968306323,1568.7473102459758,2688.451354540045
Leonardo Santos,1549.5983773354649,1547.6223782636575,1558.8761822996066,2688.2122513827217
Robbie Lawler,1531.5161355413468,1530.3717639939625,1591.890910629805,2687.3213579323337
Daniel Rodriguez,1558.8029776614703,1552.168052136658,1543.2586046114952,2687.143372793382
Macy Chiasson,1535.6341604669256,1547.3515547135262,1570.322056357336,2686.7043881584104
Tecia Pennington,1546.2253128017712,1545.5330128731396,1560.5821221753672,2686.056881728872
TJ Grant,1537.0062819686175,1547.7241857379597,1567.4575928468005,2686.0308582185553
Rob Font,1541.8044001130104,1542.9318113275847,1566.5398026701196,2685.488100134536
Conor McGregor,1535.7607944313777,1539.8066179754073,1575.5221189182514,2685.486098581412
Joe Lauzon,1526.9199455422117,1548.5809532016992,1574.2472168764039,2684.7424063691506
Matthew Riddle,1539.4820849058485,1539.6795402083517,1570.1915958757531,2684.421692663264
Karo Parisyan,1536.4020110512927,1554.4402382806315,1557.9642242671844,2684.039514993185
Thiago Santos,1539.4433504419992,1539.3169800798887,1569.8925439720533,2684.0166158206625
Alexandr Romanov,1530.778789930262,1553.2643028270593,1563.8384240979622,2683.5618708765383
Jens Pulver,1542.0563820356956,1545.816792183132,1559.9033683322186,2683.4280237983967
Myles Jury,1532.0195404798908,1563.2428598210408,1552.1595075737569,2683.283668967053
Stephen Thompson,1524.2874400455448,1525.4311403096194,1595.8805729984902,2682.764836317357
Roger Huerta,1541.7431601977187,1544.4465027523606,1559.2188386297203,2682.060841707037
Virna Jandiroba,1541.2258673361657,1535.9293689604494,1567.7049524257618,2681.8193485843935
Sergio Pettis,1557.6950624540907,1545.064711791751,1540.4174891471555,2680.769462689473
Nate Quarry,1555.22313983027,1531.3414667820687,1556.1497476660195,2680.5461644431343
Raul Rosas Jr.,1538.621857639651,1537.2277073455987,1566.7311144069063,2680.4985786021607
Sage Northcutt,1548.3176591650908,1557.492229491414,1536.3892344114959,2680.216688669807
Pedro Rizzo,1545.38014365362,1510.4889037814132,1584.7734056299757,2679.791645639207
Santiago Ponzinibbio,1553.9409353152419,1535.9171505347983,1551.4422638547803,2679.6915908048427
Rousimar Palhares,1537.356643319124,1539.6050740806254,1564.0224752750644,2679.5551003959204
Miranda Maverick,1536.1834163850021,1532.2200526382805,1572.2730016247833,2679.47759276344
Jared Rosholt,1538.5926885927604,1540.223057933582,1562.0178530121061,2679.4503732500666
Youssef Zalal,1549.3148054531227,1544.0143481143302,1547.3082379722227,2679.2759202582833
Ronda Rousey,1533.1683479303874,1540.296299769402,1565.879012223491,2678.6367717742023
Mairbek Taisumov,1537.7769050606912,1531.1820368615513,1569.540570382546,2678.196005116559
Taylor Lapilus,1561.7106866754114,1541.251482636429,1535.266496914675,2677.9543719327694
Kyler Phillips,1545.5599825932622,1542.5249395528938,1550.1543574905527,2677.894206458368
Said Nurmagomedov,1552.0721092737592,1525.1975156444507,1559.9709316341828,2677.436199362577
Amir Albazi,1536.0734004042,1541.3560470453003,1558.258700121922,2676.4659780572774
Jose Aldo,1520.8782432606338,1540.6713907557157,1573.5482890149437,2676.3395119040033
Gunnar Nelson,1532.2628304919533,1542.571145568037,1560.1925226570293,2676.1083364843817
Mark Kerr,1549.2954082271203,1558.386299551443,1526.682763404985,2675.7511806334237
Andre Lima,1542.4035579651757,1546.1433883396003,1545.4164378964217,2675.421476973368
Thiago Alves,1575.9975014181452,1509.9829108974982,1547.2713950547222,2675.4187122081107
Mateusz Gamrot,1549.9550434333166,1536.6252588879777,1547.2276017785014,2675.348776257438
Ludovit Klein,1536.8606335273005,1536.6124409944712,1559.9006909902923,2675.1464570107023
Melvin Guillard,1554.7420775250973,1518.588953792691,1559.8117648958644,2675.1351517476246
Muhammad Naimov,1543.153174396584,1552.9429999174295,1537.2985213966808,2675.115030149399
Dennis Siver,1526.3593440430204,1513.8164990421674,1591.8197293600913,2674.939866744626
Marcus McGhee,1547.7529399312807,1530.909783102387,1553.8043453863868,2674.6087322833105
Oleg Taktarov,1547.5326364001291,1540.3398751189677,1544.2423076682571,2674.357585738608
Jacqueline Cavalcanti,1554.472138948887,1534.5790924755872,1542.9553457505401,2674.3275455358294
Ryan LaFlare,1536.9428002936834,1546.2238490008945,1548.7247786009568,2674.2381723485873
Nazim Sadykhov,1544.6305175330444,1537.9547186558573,1549.2847396120262,2674.223505379631
Stefan Struve,1543.0321189517979,1549.9278078365546,1538.8528512383975,2674.190050723106
Joe Pyfer,1538.3532484355585,1530.6730286036134,1562.4177402669645,2674.0680306543663
Ailin Perez,1540.655721959799,1535.63195744806,1555.1720420317038,2674.0130221560794
Jordan Johnson,1535.4777916863723,1536.5743678528663,1559.0464744931446,2673.8322210516494
Steve Garcia,1556.309069264859,1521.3235717999378,1552.874957442599,2673.5639065940663
Farid Basharat,1538.7955386305184,1535.7417024027932,1555.7588280936402,2673.346183605766
Jack Hermansson,1538.6670911015472,1555.4396746701725,1536.0663831436207,2673.2730747532833
Dennis Bermudez,1537.0629876380417,1542.776558817583,1549.9038336917076,2672.9990707248776
Marcus Davis,1549.4865059880433,1518.6991094598413,1560.96081936146,2672.817632554595
Germaine de Randamie,1557.028128517382,1525.7689378183952,1546.3389584019749,2672.7273745890207
David Teymur,1543.493766116128,1541.7026625712497,1543.4255273175936,2672.3365177675923
Thiago Silva,1546.179151631375,1525.240361445922,1556.9555479781225,2672.2909099690214
Chad Mendes,1538.8656810873688,1522.8108674866846,1566.5372845819313,2672.283590218181
George Sotiropoulos,1529.5721273542865,1547.0434417318725,1550.8405628906528,2671.7112034970605
Karol Rosa,1526.1475269637597,1533.6061101897058,1567.070966329549,2671.4762564510706
Khalil Rountree Jr.,1536.5257745185359,1515.238416230754,1574.4099993557916,2671.2592086603604
Marcos Rogerio de Lima,1519.5013889362126,1521.9914415909204,1584.3410346522815,2671.2317258781854
David Onama,1534.66289951925,1531.6014941740766,1560.1484164333567,2671.1526413547776
Rashid Magomedov,1548.329470674807,1536.224749584972,1541.5239859051717,2670.8812834191085
Sean Sherk,1525.8518146749254,1524.515533107993,1575.0589527390061,2670.8017664434788
Cezar Ferreira,1516.9237321576193,1536.7782782933705,1571.1294397858248,2670.4293292238717
John Dodson,1527.4865510628094,1519.0846314741862,1578.0529870184125,2670.4090531408397
Carla Esparza,1534.5476210526037,1536.3186142930158,1554.107621676146,2670.2737286003667
Henry Cejudo,1531.996007076126,1524.109705932453,1568.515966119466,2670.2367867637477
Gabriel Gonzaga,1505.5428240898443,1517.0300027342423,1600.2225370084834,2669.9721707003137
Mike Pierce,1540.6019917285273,1520.5186616515034,1562.2713855710908,2669.4799829784456
Julianna Pena,1522.6735961148643,1569.0740325499924,1531.274583658475,2669.3313864124293
Ryan Hall,1551.3236838879086,1533.4697632653586,1538.0968039212087,2669.0590973736985
Diego Ferreira,1518.017846311121,1536.6524942462406,1567.8122625667997,2669.028729790497
Ovince Saint Preux,1541.7886469774478,1507.1986533343093,1572.7980763513933,2668.7925737186747
Matheus Nicolau,1520.2531010793277,1540.9028755709105,1560.8837907108277,2668.6905724320713
Alexis Davis,1533.8052795172587,1548.3007603815015,1540.0586090785143,2668.6278120917873
Dan Ige,1522.1527900699882,1538.634740109859,1559.0040108879166,2667.3656453053813
Krzysztof Soszynski,1534.7893067987102,1529.1372170929585,1555.8248516265003,2667.288850856068
Mike Malott,1541.1638807275533,1533.871482239169,1543.123373393923,2666.3041043362696
Chris Weidman,1502.8140809859922,1548.2184993233197,1566.3404095805306,2666.243230153924
Luana Carolina,1536.6613999291117,1528.3672411541884,1550.2643745893213,2664.686531843133
Casey O'Neill,1538.4254464709331,1530.8132728709184,1545.8178438050154,2664.5252742229804
Thiago Tavares,1539.1171204290924,1529.61564107563,1546.2704873899186,2664.499566521678
Enrique Barzola,1523.720550732302,1537.5160389141197,1553.379786846302,2664.3326835860375
Jack Shore,1530.6602564943353,1534.4282213986407,1549.583472815833,2664.319749328124
Dominick Cruz,1526.9912061970613,1536.9167032364749,1549.717232254211,2663.7264492503887
Adrian Yanez,1536.5964669891591,1518.3443886851337,1558.0011886099974,2663.4312622490115
Miles Johns,1535.2734572195159,1525.20894617482,1552.4311795258739,2663.338034328081
Kyung Ho Kang,1529.1910696910707,1537.4786727933379,1545.575128652239,2662.9060207272937
Olivier Aubin-Mercier,1529.879731651367,1524.4807657033364,1557.5789365202183,2662.822889680901
Terrance McKinney,1544.6823170061232,1520.9467106080072,1545.2736069105974,2662.1782204043384
Francis Carmont,1532.0328902127965,1533.4862312290059,1545.0962679242014,2661.959292554266
